district,literacy_rate,gender_ratio_f_to_1000m,percent_primary_ed,percent_age_below_29
MEGHALAYA - West Khasi Hills,0.6,980,0.2,0.73
MEGHALAYA - Ribhoi,0.6,953,0.23,0.71
MEGHALAYA - East Khasi Hills,0.7,1011,0.2,0.66
MEGHALAYA - Jaintia Hills,0.47,1013,0.16,0.74
ASSAM - Kokrajhar,0.55,959,0.19,0.62
ASSAM - Dhubri,0.47,953,0.15,0.66
ASSAM - Goalpara,0.56,964,0.21,0.65
ASSAM - Barpeta,0.53,953,0.18,0.63
ASSAM - Morigaon,0.56,967,0.2,0.64
ASSAM - Nagaon,0.61,962,0.23,0.63
ASSAM - Sonitpur,0.58,956,0.22,0.6
ASSAM - Lakhimpur,0.66,968,0.2,0.61
ASSAM - Dhemaji,0.62,953,0.2,0.63
ASSAM - Tinsukia,0.6,952,0.2,0.6
ASSAM - Dibrugarh,0.67,961,0.18,0.58
ASSAM - Sivasagar,0.71,954,0.18,0.56
ASSAM - Jorhat,0.73,962,0.18,0.55
ASSAM - Golaghat,0.68,964,0.21,0.59
ASSAM - Karbi Anglong,0.58,951,0.22,0.65
ASSAM - Dima Hasao,0.66,932,0.2,0.63
ASSAM - Cachar,0.68,959,0.26,0.6
ASSAM - Karimganj,0.65,963,0.27,0.63
ASSAM - Hailakandi,0.62,951,0.27,0.64
ASSAM - Bongaigaon,0.59,966,0.19,0.62
ASSAM - Chirang,0.54,969,0.19,0.63
ASSAM - Kamrup,0.66,949,0.19,0.59
ASSAM - Kamrup Metropolitan,0.8,936,0.13,0.53
ASSAM - Nalbari,0.69,949,0.18,0.57
ASSAM - Baksa,0.6,974,0.21,0.59
ASSAM - Darrang,0.52,954,0.18,0.63
ASSAM - Udalguri,0.57,973,0.19,0.6
WEST BENGAL - Darjiling,0.71,970,0.19,0.56
WEST BENGAL - Jalpaiguri,0.65,953,0.2,0.58
WEST BENGAL - Koch Bihar,0.66,942,0.21,0.58
WEST BENGAL - Uttar Dinajpur,0.5,939,0.16,0.64
WEST BENGAL - Dakshin Dinajpur,0.65,956,0.19,0.56
WEST BENGAL - Maldah,0.52,944,0.16,0.63
WEST BENGAL - Murshidabad,0.57,958,0.2,0.62
WEST BENGAL - Birbhum,0.62,956,0.19,0.57
WEST BENGAL - Barddhaman,0.68,945,0.19,0.54
WEST BENGAL - Nadia,0.67,947,0.21,0.53
WEST BENGAL - North Twenty Four Parganas,0.76,955,0.19,0.51
WEST BENGAL - Hugli,0.74,961,0.21,0.5
WEST BENGAL - Bankura,0.62,957,0.15,0.54
WEST BENGAL - Puruliya,0.55,957,0.16,0.57
WEST BENGAL - Haora,0.74,939,0.22,0.53
WEST BENGAL - Kolkata,0.8,908,0.13,0.45
WEST BENGAL - South Twenty Four Parganas,0.68,956,0.22,0.58
WEST BENGAL - Paschim Medinipur,0.69,966,0.19,0.55
WEST BENGAL - Purba Medinipur,0.77,938,0.24,0.56
JHARKHAND - Garhwa,0.49,935,0.15,0.65
JHARKHAND - Chatra,0.49,953,0.16,0.66
JHARKHAND - Kodarma,0.54,950,0.18,0.65
JHARKHAND - Giridih,0.51,944,0.18,0.65
JHARKHAND - Deoghar,0.53,925,0.18,0.63
JHARKHAND - Godda,0.46,938,0.15,0.62
JHARKHAND - Sahibganj,0.42,952,0.15,0.65
JHARKHAND - Pakur,0.39,989,0.15,0.65
JHARKHAND - Dhanbad,0.64,909,0.19,0.61
JHARKHAND - Bokaro,0.62,922,0.16,0.61
JHARKHAND - Lohardaga,0.56,985,0.18,0.65
JHARKHAND - Purbi Singhbhum,0.66,949,0.15,0.56
JHARKHAND - Palamu,0.53,928,0.15,0.64
JHARKHAND - Latehar,0.48,967,0.17,0.67
JHARKHAND - Hazaribagh,0.58,947,0.19,0.64
JHARKHAND - Ramgarh,0.63,921,0.15,0.63
JHARKHAND - Dumka,0.51,977,0.17,0.6
JHARKHAND - Jamtara,0.54,954,0.17,0.61
JHARKHAND - Ranchi,0.66,949,0.19,0.6
JHARKHAND - Khunti,0.54,997,0.17,0.62
JHARKHAND - Gumla,0.55,993,0.24,0.63
JHARKHAND - Simdega,0.57,997,0.22,0.6
JHARKHAND - Pashchimi Singhbhum,0.48,1005,0.31,0.64
JHARKHAND - Saraikela-Kharsawan,0.58,956,0.24,0.6
ORISSA - Bargarh,0.66,977,0.21,0.53
ORISSA - Jharsuguda,0.7,953,0.18,0.55
ORISSA - Sambalpur,0.68,976,0.18,0.54
ORISSA - Debagarh,0.63,975,0.19,0.56
ORISSA - Sundargarh,0.64,973,0.17,0.57
ORISSA - Kendujhar,0.58,988,0.16,0.58
ORISSA - Mayurbhanj,0.54,1006,0.15,0.58
ORISSA - Baleshwar,0.7,957,0.2,0.56
ORISSA - Bhadrak,0.73,981,0.26,0.56
ORISSA - Kendrapara,0.76,1007,0.25,0.54
ORISSA - Jagatsinghapur,0.78,968,0.22,0.51
ORISSA - Cuttack,0.77,940,0.21,0.52
ORISSA - Jajapur,0.71,973,0.24,0.55
ORISSA - Dhenkanal,0.7,947,0.2,0.54
